Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
58	Tvsisitor	Visitor characteristics	individid	Individual ID	Identifiant	
59	Tvsisitor	Visitor characteristics	locationid	Location (courtyard) ID	Identifiant	
60	Tvsisitor	Visitor characteristics	socialgpid	Household ID	Identifiant	
61	Tvsisitor	Visitor characteristics	birth_date	Date of birth	Date	
62	Tvsisitor	Visitor characteristics	ethnic_gp	Ethnic group	Catégorielle (codes)	1=Bobo | 2=Dioula | 3=Fulani | 4=Gourmantche | 5=Gourounsi | 6=Lobi | 7=Mossi | 8=Senoufo | 9=Touareg / Bella | 10=Others | 11=Don’t know or missing | 12=Bissa | 13=Samo
63	Tvsisitor	Visitor characteristics	Sex	Sex	Catégorielle (codes)	1=Male | 2=Female
64	Tvsisitor	Visitor characteristics	old_resident	Previously resident in the DSS areas	Catégorielle (codes)	1=Yes | 2=No | 99=Don't know or missing
65	Tvsisitor	Visitor characteristics	father_alive	Father is alive	Catégorielle (codes)	1=Yes | 2=No | 99=Don't know or missing
66	Tvsisitor	Visitor characteristics	mother_alive	Mother is alive	Catégorielle (codes)	1=Yes | 2=No | 99=Don't know or missing
67	Tvsisitor	Visitor characteristics	fatherid	Father's ID if known	Identifiant	
68	Tvsisitor	Visitor characteristics	motherid	Mother's ID if known	Identifiant	
69	Tvsisitor	Visitor characteristics	rltn_head	Relation to household head	Texte / Numérique	
70	Tvsisitor	Visitor characteristics	marital_status	Marital status	Catégorielle (codes)	1=Never married | 2=Married | 3=divorced | 4=widowed | 99=Don't know or missing
71	Tvsisitor	Visitor characteristics	arrive_date	Date of the first arrival in the location (courtyard)	Date	
72	Tvsisitor	Visitor characteristics	entry_date	Date of interview	Date	
73	Tlocation	Location / courtyard characteristics	locationid	Location (courtyard) ID	Identifiant	
74	Tlocation	Location / courtyard characteristics	zd	cluster ID	Texte / Numérique	
75	Tlocation	Location / courtyard characteristics	bloc	block ID	Texte / Numérique	
76	Tlocation	Location / courtyard characteristics	uch_num	location (courtyard) number	Numérique	
77	Tlocation	Location / courtyard characteristics	owner_id	Owner ID	Identifiant	
78	Tlocation	Location / courtyard characteristics	uch_empty	The location (courtyard) is empty	Catégorielle (codes)	1=Yes | 2=No
79	Tlocation	Location / courtyard characteristics	socialgp_nb	Number of households in the location (courtyard)	Numérique	
80	Tlocation	Location / courtyard characteristics	building_nb	Number of houses (buildings) in the location (courtyard)	Numérique	
81	Tlocation	Location / courtyard characteristics	fence	Presence of a fence	Catégorielle (codes)	1=Yes | 2=No
82	Tlocation	Location / courtyard characteristics	altitude	Altitude coordinates	Texte / Numérique	
83	Tlocation	Location / courtyard characteristics	latitude	Latitude coordinates	Texte / Numérique	
84	Tlocation	Location / courtyard characteristics	longitude	Longitude coordinates	Texte / Numérique	
85	Tlocation	Location / courtyard characteristics	dop	GPS accuracy	Texte / Numérique	
86	Tlocation	Location / courtyard characteristics	lat_texte	Latitude coordinates (detailed)	Texte / Numérique	
87	Tlocation	Location / courtyard characteristics	long_texte	Longitude coordinates (detailed)	Texte / Numérique	
88	Tlocation	Location / courtyard characteristics	entry_date	Date of interview	Date	
89	TBase_Educ	Education_Employment Table	Observeid	OBSERVATION ID	Identifiant	
90	TBase_Educ	Education_Employment Table	Individid	INDIVIDUAL ID	Identifiant	
91	TBase_Educ	Education_Employment Table	Socialgpid	HOUSEHOLD ID	Identifiant	
92	TBase_Educ	Education_Employment Table	school_train	school attendance	Catégorielle (codes)	Goes to school Has already gone to school Has never gone to school | 99=Don’t known or Missing value
93	TBase_Educ	Education_Employment Table	school_code	School code	Texte / Numérique	
94	TBase_Educ	Education_Employment Table	class_code	class code	Catégorielle (codes)	0=Not concerned | 1=Preschool 11 CP1 12 CP2 13 CE1 14 CE2 15 CM1 16 CM2 6ème 5ème 4ème 3ème 2nd 1ère Tle SUP1 SUP2 SUP3 SUP4 SUP5 SUP6 SUP7+ | 99=Don’t known or Missing value
95	TBase_Educ	Education_Employment Table	class_type	class type	Catégorielle (codes)	Morning class Evening class | 99=Don’t known or Missing value | 0=Not concerned
96	TBase_Educ	Education_Employment Table	alph_train	Has done literacy training	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
97	TBase_Educ	Education_Employment Table	prof_train	Has done professional training	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
98	TBase_Educ	Education_Employment Table	relig_train	Has done religious training	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
99	TBase_Educ	Education_Employment Table	activity	Had activity during last 7 days	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
100	TBase_Educ	Education_Employment Table	activity_code	activity code	Texte / Numérique	
101	TBase_Educ	Education_Employment Table	activity_desc	activity description	Texte / Numérique	
102	TBase_Educ	Education_Employment Table	activity_type	activity type	Catégorielle (codes)	freelance Public wage earners private wage earners employer mother's helper apprentice/ professional training voluntary | 99=Don’t known or Missing value | 0=Not concerned
103	TBase_Educ	Education_Employment Table	activity_domain	activity field	Catégorielle (codes)	Farmer/hunting/ forestry fishing/ fish farming/ aquaculture Extractive activities Manufacture Electricity/gas/water production and distribution House building Trade/car repairing Hotel/restaurant Transport and communication Financial activities Real-estate/renting out Public service Education Health activity/social services Collective or individual activity Domestic staff employer Extra-territorial organizations activity | 99=Don’t known or Missing value | 0=Not concerned
104	TBase_Educ	Education_Employment Table	activity_sect	District number where activity is carried out	Numérique	
105	TBase_Educ	Education_Employment Table	job_search	Has looked for job during last 7 days	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
106	TBase_Educ	Education_Employment Table	helper	extra activity as domestic helper	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
107	TBase_Educ	Education_Employment Table	apprentice	extra activity as apprentice	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
108	TBase_Educ	Education_Employment Table	activ_paid	paid extra activity	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
109	TBase_Educ	Education_Employment Table	readwrite	literacy	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
